2022/05/17 17:08:11:812 INFO    --start: 
2022/05/17 17:08:11:814 FINER   ENTRY - br.com.cis.LsApiComm :  lib path=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\dist\lib\WIN64\LsApi.dll]
2022/05/17 17:08:12:262 FINER   ENTRY - br.com.cis.LsApiComm :  lib loaded=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\dist\lib\WIN64\LsApi.dll]
2022/05/17 17:08:15:107 FINER   ENTRY - br.com.cis.LsApiComm : LSConnect ret=[0][Success]
2022/05/17 17:08:15:108 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 17:08:15:109 INFO    SenseKey=[0], SensorStatus=[0] 
2022/05/17 17:08:15:115 FINER   ENTRY - br.com.cis.LsApiComm : LSUnitIdentify ret=[0][Success]
2022/05/17 17:08:15:116 FINER   ENTRY - br.com.cis.LsApiComm : LSGetVersion ret=[0][Success]
2022/05/17 17:09:51:249 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 17:09:51:250 INFO    SenseKey=[0], SensorStatus=[1] 
2022/05/17 17:09:51:251 INFO    SensorStatus=[1] 
2022/05/17 17:09:51:253 FINER   ENTRY - br.com.cis.LsApiComm : LSConfigDoubleLeafingAndDocLength ret=[0][Success]
2022/05/17 17:09:51:254 INFO    Type=[7], Value=[50], DocMin=[100], DocMax=[320] 
2022/05/17 17:09:51:255 FINER   ENTRY - br.com.cis.LsApiComm : LSDisableWaitDocument ret=[0][Success]
2022/05/17 17:09:51:255 INFO    Value=[true] 
2022/05/17 17:09:52:829 FINER   ENTRY - br.com.cis.LsApiComm : LSDocHandle ret=[0][Success]
2022/05/17 17:09:52:829 INFO    Stamp=[0] 
2022/05/17 17:09:52:829 INFO    Validate=[0] 
2022/05/17 17:09:52:829 INFO    CodeLine=[5] 
2022/05/17 17:09:52:830 INFO    Side=[X] 
2022/05/17 17:09:52:830 INFO    ScanMode=[21] 
2022/05/17 17:09:52:830 INFO    Feeder=[0] 
2022/05/17 17:09:52:830 INFO    Sorter=[1] 
2022/05/17 17:09:52:830 INFO    WaitTimeout=[87] 
2022/05/17 17:09:52:831 INFO    Beep=[0] 
2022/05/17 17:09:52:831 INFO    ScanDocType=[3] 
2022/05/17 17:09:52:831 INFO    NrDoc=[0] 
2022/05/17 17:09:52:832 FINER   ENTRY - br.com.cis.LsApiComm : LSReadCodeline ret=[0][Success]
2022/05/17 17:09:52:898 FINER   ENTRY - br.com.cis.LsApiComm : LSReadImage ret=[0][Success]
2022/05/17 17:09:52:929 FINER   ENTRY - br.com.cis.LsApiComm : LSReadBarcodeFromBitmap ret=[-26][Invalid library]
2022/05/17 17:09:52:930 INFO    TypeBarcode=[2] 
2022/05/17 17:09:52:930 INFO    pos_x=[0], pos_y=[0], sizeW=[0], sizeH=[0] 
2022/05/17 17:09:52:930 INFO    Codeline=[[B@7007d3a2] 
2022/05/17 17:09:52:931 INFO    LenCodeline=[128], legth=[0] 
