2022/05/17 16:30:54:151 INFO    --start: 
2022/05/17 16:30:54:153 FINER   ENTRY - br.com.cis.LsApiComm :  lib path=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\lib\WIN64\LsApi.dll]
2022/05/17 16:30:54:591 FINER   ENTRY - br.com.cis.LsApiComm :  lib loaded=[D:\ciswk\cis1004-ls40\SOFT\LsApiComm\lib\WIN64\LsApi.dll]
2022/05/17 16:30:57:297 FINER   ENTRY - br.com.cis.LsApiComm : LSConnect ret=[0][Success]
2022/05/17 16:30:57:299 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:30:57:301 INFO    SenseKey=[0], SensorStatus=[0] 
2022/05/17 16:30:57:307 FINER   ENTRY - br.com.cis.LsApiComm : LSUnitIdentify ret=[0][Success]
2022/05/17 16:30:57:309 FINER   ENTRY - br.com.cis.LsApiComm : LSGetVersion ret=[0][Success]
2022/05/17 16:31:11:108 FINER   ENTRY - br.com.cis.LsApiComm : LSDisconnect ret=[0][Success]
2022/05/17 16:31:11:109 INFO    SenseKey=[0], SensorStatus=[1] 
2022/05/17 16:31:11:109 INFO    SensorStatus=[1] 
2022/05/17 16:31:11:112 FINER   ENTRY - br.com.cis.LsApiComm : LSConfigDoubleLeafingAndDocLength ret=[0][Success]
2022/05/17 16:31:11:113 INFO    Type=[7], Value=[50], DocMin=[100], DocMax=[320] 
2022/05/17 16:31:11:114 FINER   ENTRY - br.com.cis.LsApiComm : LSDisableWaitDocument ret=[0][Success]
2022/05/17 16:31:11:114 INFO    Value=[true] 
2022/05/17 16:31:12:688 FINER   ENTRY - br.com.cis.LsApiComm : LSDocHandle ret=[0][Success]
2022/05/17 16:31:12:688 INFO    Stamp=[0] 
2022/05/17 16:31:12:688 INFO    Validate=[0] 
2022/05/17 16:31:12:689 INFO    CodeLine=[5] 
2022/05/17 16:31:12:689 INFO    Side=[X] 
2022/05/17 16:31:12:689 INFO    ScanMode=[21] 
2022/05/17 16:31:12:689 INFO    Feeder=[0] 
2022/05/17 16:31:12:690 INFO    Sorter=[1] 
2022/05/17 16:31:12:690 INFO    WaitTimeout=[87] 
2022/05/17 16:31:12:690 INFO    Beep=[0] 
2022/05/17 16:31:12:691 INFO    ScanDocType=[3] 
2022/05/17 16:31:12:691 INFO    NrDoc=[0] 
2022/05/17 16:31:12:692 FINER   ENTRY - br.com.cis.LsApiComm : LSReadCodeline ret=[0][Success]
2022/05/17 16:31:12:758 FINER   ENTRY - br.com.cis.LsApiComm : LSReadImage ret=[0][Success]
2022/05/17 16:31:12:775 FINER   ENTRY - br.com.cis.LsApiComm : LSReadBarcodeFromBitmap ret=[-26][Invalid library]
2022/05/17 16:31:12:775 INFO    TypeBarcode=[2] 
2022/05/17 16:31:12:775 INFO    pos_x=[0], pos_y=[0], sizeW=[0], sizeH=[0] 
2022/05/17 16:31:12:776 INFO    Codeline=[[B@622e0c97] 
2022/05/17 16:31:12:776 INFO    LenCodeline=[128], legth=[0] 
